Energy,Mass_Stopping_Power,Stopping_Power,Distance_Travelled,Cumulative_Distance,Filtered_Stopping_Power
3.5,101.7,120.006,0.004166458343749479,2.9527046685058913,101.7
4.0,91.79,108.3122,0.00461628514608696,2.948538210162142,91.79
4.5,83.79,98.8722,0.005057033220662633,2.943921925016055,83.79
5.0,77.19,91.0842,0.005489426267124266,2.9388648917953923,77.19
5.5,71.64,84.5352,0.0059146958899961195,2.9333754655282682,71.64
6.0,66.9,78.94200000000001,0.006333764029287325,2.927460769638272,66.9
6.5,62.8,74.104,0.00674727410126309,2.9211270056089846,62.8
7.0,59.21,69.8678,0.0071563724634237805,2.9143797315077213,59.21
7.5,56.05,66.139,0.007559836102753293,2.9072233590442975,56.05
8.0,53.24,62.8232,0.007958843229889595,2.899663522941544,53.24
8.5,50.73,59.861399999999996,0.008352627903791092,2.891704679711655,50.73
9.0,48.45,57.171,0.008745692746322435,2.8833520518078637,48.45
9.5,46.4,54.751999999999995,0.00913208649912332,2.8746063590615414,46.4
10.0,44.52,52.5336,0.04758859092085827,2.8654742725624183,44.52
12.5,37.19,43.88419999999999,0.056968111529890036,2.81788568164156,37.19
15.0,32.08,37.8544,0.06604252081660257,2.76091757011167,32.08
17.5,28.31,33.4058,0.07483730370175239,2.6948750492950673,28.31
20.0,25.39,29.9602,0.16688807150820087,2.620037745593315,25.39
25.0,21.18,24.9924,0.1000304092444103,2.453149674085114,21.18
27.5,19.61,23.139799999999997,0.10803896317167824,2.353119264840704,19.61
30.0,18.27,21.5586,0.23192600632694146,2.245080301669026,18.27
35.0,16.13,19.033399999999997,0.26269610264062127,2.0131542953420847,16.13
40.0,14.49,17.0982,0.29242844276005664,1.7504581927014633,14.49
45.0,13.18,15.552399999999999,0.32149378874000156,1.4580297499414065,13.18
50.0,12.12,14.301599999999999,0.34961123230967167,1.136535961201405,12.12
55.0,11.24,13.2632,0.37698293021291995,0.7869247288917334,11.24
60.0,10.5,12.389999999999999,0.16142050040355127,0.4099417986788134,10.5
